chor001,*G
chor002,*A
chor003,*ador
chor004,*E
chor005,*G
chor006,*F
chor007,*A
chor008,*fdor
chor009,*G
chor010,*a
chor011,*C
chor012,*a
chor013,*a
chor014,*G
chor015,*ddor
chor016,*b
chor017,*e
chor018,*G
chor019,*gdor
chor020,*D
chor021,*a
chor022,*E-
chor023,*a
chor024,*D
chor025,*fdor
chor026,*F
chor027,*B-
chor028,*b
chor029,*G
chor030,*e
chor031,*a
chor032,*A
chor033,*a
chor034,*ephr
chor035,*A
chor036,*A
chor037,*a
chor038,*E-
chor039,*e
chor040,*C
chor041,*a
chor042,*A
chor043,*E
chor044,*D
chor045,*b
chor046,*D
chor047,*d
chor048,*a
chor049,*ddor
chor050,*F
chor051,*G
chor052,*A
chor053,*g
chor054,*G
chor055,*b
chor056,*b
chor057,*a
chor058,*D
chor059,*g
chor060,*D
chor061,*E-
chor062,*b
chor063,*A
chor064,*G
chor065,*G
chor066,*a
chor067,*G
chor068,*F
chor069,*G
chor070,*Gmix
chor071,*e
chor072,*g
chor073,*g
chor074,*F
chor075,*d
chor076,*G
chor077,*A
chor078,*b
chor079,*a
chor080,*D
chor081,*a
chor082,*gdor
chor083,*A
chor084,*A
chor085,*E
chor086,*D
chor087,*cdor
chor088,*a
chor089,*b
chor090,*B-
chor091,*f#
chor092,*b
chor093,*B-
chor094,*g
chor095,*B-
chor096,*d
chor097,*A
chor098,*D
chor099,*a
chor100,*g
chor101,*B-
chor102,*G
chor103,*B-
chor104,*b
chor105,*b
chor106,*A
chor107,*E-
chor108,*E-
chor109,*g
chor110,*cdor
chor111,*a
chor112,*b
chor113,*fdor
chor114,*a
chor115,*b
chor116,*D
chor117,*A-
chor118,*B-
chor119,*cdor
chor120,*b
chor121,*A
chor122,*cdor
chor123,*a
chor124,*G
chor125,*G
chor126,*a
chor127,*Gmix
chor128,*G
chor129,*e
chor130,*e
chor131,*G
chor132,*a
chor133,*ddor
chor134,*d
chor135,*D
chor136,*G
chor137,*G
chor138,*e
chor139,*G
chor140,*C
chor141,*A
chor142,*d
chor143,*F
chor144,*A
chor145,*a
chor146,*a
chor147,*E-
chor148,*G
chor149,*c
chor151,*G
chor152,*D
chor153,*D
chor154,*Gmix
chor155,*gdor
chor156,*A
chor157,*F
chor158,*G
chor159,*G
chor160,*Gmix
chor161,*d
chor162,*ddor
chor163,*g
chor164,*B-
chor165,*F
chor166,*gdor
chor167,*e
chor168,*gdor
chor169,*A
chor170,*a
chor171,*gdor
chor172,*g
chor173,*E-
chor174,*gdor
chor175,*C
chor176,*F
chor177,*A
chor178,*g
chor179,*E-
chor180,*ddor
chor181,*e
chor182,*g
chor183,*G
chor184,*ddor
chor185,*ddor
chor186,*ddor
chor187,*Gmix
chor188,*F
chor189,*A
chor190,*a
chor191,*a
chor192,*B-
chor193,*a
chor194,*b
chor195,*D
chor196,*c
chor197,*ddor
chor198,*a
chor199,*gdor
chor200,*C
chor201,*E-
chor202,*D
chor203,*gdor
chor204,*g
chor205,*C
chor206,*gdor
chor207,*d
chor208,*e
chor209,*B-
chor210,*ddor
chor211,*C
chor212,*E-
chor213,*d
chor214,*a
chor215,*g
chor216,*A
chor217,*C
chor218,*gdor
chor219,*d
chor220,*d
chor221,*a
chor222,*G
chor223,*C
chor224,*F
chor225,*g
chor226,*g
chor227,*d
chor228,*a
chor229,*g
chor230,*g
chor231,*Gmix
chor232,*ddor
chor233,*A
chor234,*F
chor235,*F
chor236,*e
chor237,*gdor
chor238,*e
chor239,*C
chor240,*a
chor241,*ddor
chor242,*e
chor243,*g
chor244,*cdor
chor245,*g
chor246,*G
chor247,*G
chor248,*G
chor249,*G
chor250,*D
chor251,*g
chor252,*B-
chor253,*g
chor254,*C
chor255,*D
chor256,*B-
chor257,*B-
chor258,*G
chor259,*f#
chor260,*B-
chor261,*e
chor262,*gdor
chor263,*e
chor264,*B-
chor265,*b
chor266,*g
chor267,*d
chor268,*C
chor269,*g
chor270,*a
chor271,*e
chor272,*B-
chor273,*D
chor274,*F
chor275,*A
chor276,*G
chor277,*C
chor278,*E
chor279,*B-
chor280,*D
chor281,*g
chor282,*C
chor283,*e
chor284,*Cmix
chor285,*a
chor286,*b
chor287,*a
chor288,*Amix
chor289,*B-
chor290,*E
chor291,*D
chor292,*d
chor293,*G
chor294,*b
chor295,*e
chor296,*C
chor297,*g
chor298,*C
chor299,*E-
chor300,*a
chor301,*g
chor302,*gdor
chor303,*F
chor304,*g
chor305,*D
chor306,*E-
chor307,*a
chor308,*A
chor309,*A-
chor310,*E
chor311,*F
chor312,*D
chor313,*G
chor314,*e
chor315,*G
chor316,*G
chor317,*C
chor318,*A
chor319,*F
chor320,*f#
chor321,*g
chor322,*G
chor323,*F
chor324,*e
chor325,*ddor
chor326,*A
chor327,*D
chor328,*G
chor329,*G
chor330,*G
chor331,*b
chor332,*a
chor333,*D
chor334,*D
chor335,*F
chor336,*b
chor337,*F
chor338,*D
chor339,*a
chor340,*d
chor341,*A
chor342,*A
chor343,*D
chor344,*G
chor345,*a
chor346,*e
chor347,*G
chor348,*C
chor349,*b
chor350,*B-
chor351,*A
chor352,*a
chor353,*G
chor354,*G
chor355,*B-
chor356,*d
chor357,*Gmix
chor358,*g
chor359,*b
chor360,*f#
chor361,*G
chor362,*G
chor363,*A
chor364,*b
chor365,*A
chor366,*A
chor367,*b
chor368,*F
chor369,*b-dor
chor370,*a
chor371,*e
